Attribute,,,TFIDF
glorious,1,1,5.298317367
go,33,132,13.71200965
god,1,1,5.298317367
Godspeed,1,1,5.298317367
goes,4,4,15.64809202
going,13,11,37.70548722
gold,8,7,26.81925774
golden,1,1,5.298317367
Goliath,1,1,5.298317367
gone,5,5,18.44439727
good,142,86,119.84375
goods,1,1,5.298317367
Google,4,4,15.64809202
gorilla,6,5,22.13327672
got,31,26,63.24684568
gr,1,80,0.916290732
grab,1,1,5.298317367
gradient,1,1,5.298317367
grainy,1,1,5.298317367
grand,1,1,5.298317367
graphic,1,3,4.199705078
graphics,1,1,5.298317367
graphite,3,2,13.81551056
great,79,51,107.952847
greater,1,1,5.298317367
greatest,1,1,5.298317367
Grey,1,1,5.298317367
grievance,1,1,5.298317367
grip,3,2,13.81551056
grudge,1,1,5.298317367
gs,1,40,1.609437912
gt,1,1,5.298317367
guaranteed,1,1,5.298317367
guarantees,1,1,5.298317367
guard,5,4,19.56011503
guess,4,4,15.64809202
guy,5,10,14.97866137
guys,11,8,35.40763407
h,1,199,0.005012542
had,1,1,5.298317367
half,4,7,13.40962887
ham,9,10,26.96159046
Hamsun,19,20,43.74911677
hand,11,25,22.87385696
handles,3,3,12.59911523
handling,2,2,9.210340372
hands,6,8,19.31325495
handset,2,2,9.210340372
handy,3,3,12.59911523
hang,4,26,8.160883314
hanged,3,4,11.73606902
hanging,4,10,11.98292909
hangs,4,4,15.64809202
hangups,1,1,5.298317367
happen,2,6,7.013115795
happened,2,2,9.210340372
happening,2,2,9.210340372
happy,15,15,38.85400748
hard,2,12,5.626821434
hardware,5,4,19.56011503
hare,1,3,4.199705078
hassle,1,1,5.298317367
hate,2,2,9.210340372
have,5,6,17.53278949
having,3,3,12.59911523
head,1,9,3.101092789
headphone,1,4,3.912023005
headphones,3,3,12.59911523
headset,1,1,5.298317367
hear,4,11,11.60168837
heard,2,2,9.210340372
hearing,1,1,5.298317367
heart,2,4,7.824046011
hearted,1,1,5.298317367
hearts,1,1,5.298317367
heat,3,19,7.061635162
heated,2,2,9.210340372
heating,12,10,35.94878728
heats,3,3,12.59911523
heavier,1,1,5.298317367
heavy,8,8,25.7510066
height,2,2,9.210340372
hell,3,5,11.06663836
hello,1,1,5.298317367
help,6,8,19.31325495
helpline,1,1,5.298317367
helps,2,2,9.210340372
hesitant,1,1,5.298317367
hey,1,5,3.688879454
hf,1,2,4.605170186
hiccups,1,1,5.298317367
hie,7,3,29.39793555
high,14,19,32.95429742
higher,2,2,9.210340372
highest,1,1,5.298317367
highlight,1,1,5.298317367
hindrance,1,1,5.298317367
history,2,2,9.210340372
hitting,1,1,5.298317367
hogging,1,1,5.298317367
hold,5,8,16.09437912
holding,2,2,9.210340372
holds,1,1,5.298317367
home,2,2,9.210340372
honest,1,2,4.605170186
hope,10,10,29.95732274
hoping,1,1,5.298317367
horrible,2,2,9.210340372
horse,1,1,5.298317367
hot,4,19,9.41551355
hotter,1,1,5.298317367
hour,14,23,30.27952411
hours,12,11,34.80506512
hr,2,14,5.318520074
hrs,8,7,26.81925774
hub,1,1,5.298317367
huge,4,4,15.64809202
humongous,1,1,5.298317367
hurt,1,1,5.298317367
Hyderabad,1,1,5.298317367
i,106,200,0
ice,1,106,0.634878272
icons,1,1,5.298317367
id,3,81,2.711604636
ideal,1,1,5.298317367
ideas,1,1,5.298317367
ignore,1,1,5.298317367
ii,10,8,32.18875825
ill,3,91,2.36237358
image,1,2,4.605170186
images,2,2,9.210340372
imperfectability,1,1,5.298317367
impoliticness,1,1,5.298317367
important,1,1,5.298317367
impossible,1,1,5.298317367
impressed,1,1,5.298317367
impresses,1,1,5.298317367
impression,1,1,5.298317367
impressive,1,1,5.298317367
improve,4,7,13.40962887
improved,1,1,5.298317367
improvement,1,2,4.605170186
improvements,1,1,5.298317367
inboard,1,1,5.298317367
inbuilt,3,3,12.59911523
include,1,1,5.298317367
included,1,1,5.298317367
includes,1,1,5.298317367
including,1,1,5.298317367
incoming,2,2,9.210340372
increase,1,1,5.298317367
increasing,1,1,5.298317367
incredible,1,1,5.298317367
India,2,5,7.377758908
Indian,1,3,4.199705078
Indians,2,2,9.210340372
indoor,1,2,4.605170186
indoors,1,1,5.298317367
inferior,1,1,5.298317367
infinite,1,1,5.298317367
inflated,1,1,5.298317367
informs,1,1,5.298317367
ink,1,19,2.353878387
innovation,1,1,5.298317367
install,3,12,8.44023215
installed,7,8,22.53213077
installing,1,1,5.298317367
instrument,1,1,5.298317367
insurance,1,1,5.298317367
intact,1,1,5.298317367
integration,1,1,5.298317367
interaction,1,1,5.298317367
interacts,1,1,5.298317367
interested,1,1,5.298317367
interface,1,1,5.298317367
internal,4,4,15.64809202
INTERNET,3,3,12.59911523
introduced,1,1,5.298317367
invest,2,2,9.210340372
ion,1,85,0.85566611
Ir,1,1,5.298317367
irritant,1,1,5.298317367
irritating,1,1,5.298317367
is,5,112,2.899092476
issue,26,32,47.64711806
issues,16,15,41.44427465
item,2,2,9.210340372
j,1,63,1.15518264
jam,1,2,4.605170186
jammed,1,1,5.298317367
jaw,3,1,15.8949521
jawbreaker,1,1,5.298317367
jeans,1,1,5.298317367
jiffy,1,1,5.298317367
jig,1,3,4.199705078
Jo,1,1,5.298317367
job,3,3,12.59911523
joke,1,1,5.298317367
joy,1,3,4.199705078
judge,1,1,5.298317367
juice,1,1,5.298317367
July,2,2,9.210340372
June,1,1,5.298317367
just,2,45,2.983309754
k,31,179,3.438878382
kart,2,1,10.59663473
keep,3,7,10.05722165
keeping,1,1,5.298317367
keeps,3,3,12.59911523
kept,2,2,9.210340372
key,3,2,13.81551056
kicks,1,1,5.298317367
killer,13,13,35.53378412
killers,1,1,5.298317367
kind,6,7,20.1144433
km,1,2,4.605170186
know,22,20,50.65687205
knowing,1,1,5.298317367
knowledge,1,1,5.298317367
known,1,1,5.298317367
kudos,2,2,9.210340372
kw,2,2,9.210340372
l,1,199,0.005012542
labeled,1,1,5.298317367
lacking,3,4,11.73606902
lacks,2,2,9.210340372
lag,18,43,27.66811052
lagged,1,1,5.298317367
lagging,2,2,9.210340372
lags,6,23,12.9769389
laking,1,1,5.298317367
lame,1,2,4.605170186
landscapes,1,1,5.298317367
lapse,1,1,5.298317367
large,3,3,12.59911523
last,23,28,45.2205957
lasts,5,5,18.44439727
latest,6,5,22.13327672
laughed,1,1,5.298317367
launch,2,4,7.824046011
launched,1,1,5.298317367
launcher,1,1,5.298317367
lay,1,31,1.864330162
leaders,1,1,5.298317367
learns,1,1,5.298317367
least,5,5,18.44439727
leave,1,1,5.298317367
lee,1,7,3.352407217
left,7,6,24.54590528
Leno,1,1,5.298317367
lens,1,1,5.298317367
Leos,1,1,5.298317367
less,8,20,18.42068074
lesser,1,1,5.298317367
let,4,15,10.36106866
lets,1,1,5.298317367
letters,1,1,5.298317367
level,4,4,15.64809202
life,27,27,54.06697351
lifestyle,1,1,5.298317367
lifetime,1,1,5.298317367
light,14,24,29.68368951
lightening,1,1,5.298317367
lighter,1,1,5.298317367
lighting,1,1,5.298317367
lightning,1,1,5.298317367
lights,2,2,9.210340372
lightweight,2,2,9.210340372
like,2,54,2.61866664
liked,3,3,12.59911523
limited,1,1,5.298317367
line,7,8,22.53213077
list,1,2,4.605170186
listening,1,1,5.298317367
lithium,1,1,5.298317367
little,8,12,22.50728573
live,1,23,2.162823151
lives,1,1,5.298317367
loaded,2,4,7.824046011
loading,1,1,5.298317367
loads,1,2,4.605170186
located,1,1,5.298317367
lock,2,5,7.377758908
locking,1,2,4.605170186
London,1,1,5.298317367
long,7,12,19.69387502
look,16,39,26.15609153
looking,7,7,23.46685052
looks,21,19,49.43144614
loose,2,2,9.210340372
looted,1,1,5.298317367
lost,2,2,9.210340372
